                                     | Core 0    
  Instructions                       |  789060731
  Cycles                             |  303608676
  IPC                                |       2.60
  Time (ns)                          |  114138600
  Idle time (ns)                     |      47955
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |  136957441
  num incorrect                      |    1419984
  misprediction rate                 |      1.03%
  mpki                               |       1.80
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |  124576048
    num misses                       |        101
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  275083576
    num misses                       |       4311
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |       4412
    num misses                       |       3432
    miss rate                        |     77.79%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |  124576048
    num cache misses                 |       3986
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |  275083576
    num cache misses                 |     213961
    miss rate                        |      0.08%
    mpki                             |       0.27
  Cache L2                           |           
    num cache accesses               |     218024
    num cache misses                 |     217064
    miss rate                        |     99.56%
    mpki                             |       0.28
  Cache L3                           |           
    num cache accesses               |     217144
    num cache misses                 |      85934
    miss rate                        |     39.57%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      86867
  average dram access latency (ns)   |    4153.30
  average dram queueing delay        |    4099.88
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      31851
  num loads from dram cache          |          0
  num loads from remote cache        |          0
